order date (DateOrders),shipping date (DateOrders),Shipping Mode,Order Region,Order Country,Order State,order_month,actual_delay_days,Days for shipment (scheduled),is_late,Category Name,Late_delivery_risk
2018-01-31 22:56:00,2018-02-03 22:56:00,Standard Class,Southeast Asia,Indonesia,Java Occidental,1,3,4,0,Sporting Goods,0
2018-01-13 12:27:00,2018-01-18 12:27:00,Standard Class,South Asia,India,Rajastán,1,5,4,1,Sporting Goods,1
2018-01-13 12:06:00,2018-01-17 12:06:00,Standard Class,South Asia,India,Rajastán,1,4,4,0,Sporting Goods,0
2018-01-13 11:45:00,2018-01-16 11:45:00,Standard Class,Oceania,Australia,Queensland,1,3,4,0,Sporting Goods,0
2018-01-13 11:24:00,2018-01-15 11:24:00,Standard Class,Oceania,Australia,Queensland,1,2,4,0,Sporting Goods,0
2018-01-13 11:03:00,2018-01-19 11:03:00,Standard Class,Oceania,Australia,Queensland,1,6,4,1,Sporting Goods,0
2018-01-13 10:42:00,2018-01-15 10:42:00,First Class,Eastern Asia,China,Guangdong,1,2,1,1,Sporting Goods,1
2018-01-13 10:21:00,2018-01-15 10:21:00,First Class,Eastern Asia,China,Guangdong,1,2,1,1,Sporting Goods,1
2018-01-13 10:00:00,2018-01-16 10:00:00,Second Class,Eastern Asia,China,Guangdong,1,3,2,1,Sporting Goods,1
2018-01-13 09:39:00,2018-01-15 09:39:00,First Class,Eastern Asia,China,Guangdong,1,2,1,1,Sporting Goods,1
2018-01-13 09:18:00,2018-01-19 09:18:00,Second Class,Eastern Asia,Japón,Tokio,1,6,2,1,Sporting Goods,0
2018-01-13 08:57:00,2018-01-18 08:57:00,Second Class,Southeast Asia,Indonesia,Célebes Septentrional,1,5,2,1,Sporting Goods,1
2018-01-13 08:36:00,2018-01-17 08:36:00,Second Class,Southeast Asia,Indonesia,Célebes Septentrional,1,4,2,1,Sporting Goods,1
2018-01-13 08:15:00,2018-01-15 08:15:00,First Class,South Asia,India,Maharashtra,1,2,1,1,Sporting Goods,1
2018-01-13 07:54:00,2018-01-15 07:54:00,First Class,South Asia,India,Maharashtra,1,2,1,1,Sporting Goods,1
2018-01-13 07:33:00,2018-01-15 07:33:00,First Class,South Asia,India,Maharashtra,1,2,1,1,Sporting Goods,1
2018-01-13 07:12:00,2018-01-18 07:12:00,Second Class,Eastern Asia,Corea del Sur,Seúl,1,5,2,1,Sporting Goods,1
2018-01-13 06:51:00,2018-01-15 06:51:00,First Class,South Asia,India,Madhya Pradesh,1,2,1,1,Sporting Goods,1
2018-01-13 06:30:00,2018-01-15 06:30:00,First Class,South Asia,India,Madhya Pradesh,1,2,1,1,Sporting Goods,1
2018-01-13 06:09:00,2018-01-13 18:09:00,Same Day,South Asia,India,Madhya Pradesh,1,0,0,0,Sporting Goods,0
2018-01-13 05:48:00,2018-01-13 17:48:00,Same Day,South Asia,India,Madhya Pradesh,1,0,0,0,Sporting Goods,0
2018-01-13 05:27:00,2018-01-18 05:27:00,Standard Class,South Asia,India,Madhya Pradesh,1,5,4,1,Sporting Goods,1
2018-01-13 05:06:00,2018-01-17 05:06:00,Second Class,Oceania,Australia,Victoria,1,4,2,1,Sporting Goods,1
2018-01-13 04:45:00,2018-01-16 04:45:00,Second Class,Oceania,Australia,Victoria,1,3,2,1,Sporting Goods,0
2018-01-13 04:24:00,2018-01-15 04:24:00,Second Class,Oceania,Australia,Queensland,1,2,2,0,Sporting Goods,0
2018-01-13 04:03:00,2018-01-19 04:03:00,Second Class,Oceania,Australia,Australia Occidental,1,6,2,1,Sporting Goods,1
2018-01-13 03:42:00,2018-01-18 03:42:00,Second Class,Oceania,Australia,Australia Occidental,1,5,2,1,Sporting Goods,1
2018-01-13 03:21:00,2018-01-17 03:21:00,Standard Class,Eastern Asia,China,Guangxi,1,4,4,0,Sporting Goods,0
